dt,cnt
2012-10-06,8587644
2012-10-07,8628198
2012-10-08,8666368
2012-10-09,8673959
2012-10-10,8665338
2012-10-11,8674098
2012-10-12,8686881
2012-10-13,8715636
2012-10-14,8757679
2012-10-15,8786628
2012-10-16,8798203
2012-10-17,8797645
2012-10-18,8804759
2012-10-19,8815172
2012-10-20,8849484
2012-10-21,8897279
2012-10-22,8931011
2012-10-23,8948658
2012-10-24,8951512
2012-10-25,8965285
2012-10-26,8978630
2012-10-27,9003852
2012-10-28,9052210
2012-10-29,9099680
2012-10-30,9126128
2012-10-31,9125830
2012-11-01,9139072
2012-11-02,9165155
2012-11-03,9211307
2012-11-04,9274346
2012-11-05,9317964
2012-11-06,9351194
2012-11-07,9361004
2012-11-08,9375882
2012-11-09,9398284
2012-11-10,9441869
2012-11-11,9500480
2012-11-12,9551693
2012-11-13,9575959
2012-11-14,9586859
2012-11-15,9607376
2012-11-16,9628157
2012-11-17,9668104
2012-11-18,9724427
2012-11-19,9768382
2012-11-20,9800097
2012-11-21,9833412
2012-11-22,9875635
2012-11-23,9922992
2012-11-24,9990285
2012-11-25,10071126
2012-11-26,10128678
2012-11-27,10170552
2012-11-28,10198897
2012-11-29,10232904
2012-11-30,10268215
2012-12-01,10322490
2012-12-02,10392864
2012-12-03,10436194
2012-12-04,10460926
2012-12-05,10470420
2012-12-06,10491989
2012-12-07,10514635
2012-12-08,10564072
2012-12-09,10624235
2012-12-10,10665930
2012-12-11,10691679
2012-12-12,10704414
2012-12-13,10723306
2012-12-14,10749603
2012-12-15,10802565
2012-12-16,10871284
2012-12-17,10921710
2012-12-18,10960449
2012-12-19,10986607
2012-12-20,11022152
2012-12-21,11063976
2012-12-22,11114030
2012-12-23,11166292
2012-12-24,11238149
2012-12-25,11378349
2012-12-26,11509622
2012-12-27,11662984
2012-12-28,11802545
2012-12-29,11924988
2012-12-30,12037101
2012-12-31,12131577
2013-01-01,12206945
2013-01-02,12309411
2013-01-03,12420833
2013-01-04,12522209
2013-01-05,12624570
2013-01-06,12734474
2013-01-07,12820518
2013-01-08,12883371
2013-01-09,12935548
2013-01-10,12996896
2013-01-11,13056514
2013-01-12,13144099
2013-01-13,13250137
2013-01-14,13331760
2013-01-15,13393167
2013-01-16,13443634
2013-01-17,13500078
2013-01-18,13558278
2013-01-19,13642789
2013-01-20,13737911
2013-01-21,13840474
2013-01-22,13910013
2013-01-23,13968095
2013-01-24,14005855
2013-01-25,14036283
2013-01-26,14090686
2013-01-27,14158477
2013-01-28,14199159
2013-01-29,14230006
2013-01-30,14252703
2013-01-31,14271338
2013-02-01,14277674
2013-02-02,14304782
2013-02-03,14358682
2013-02-04,14382261
2013-02-05,14400353
2013-02-06,14407434
2013-02-07,14430484
2013-02-08,14473391
2013-02-09,14547662
2013-02-10,14635772
2013-02-11,14700641
2013-02-12,14738393
2013-02-13,14759007
2013-02-14,14781425
2013-02-15,14821035
2013-02-16,14891288
2013-02-17,14978865
2013-02-18,15071067
2013-02-19,15124434
2013-02-20,15160044
2013-02-21,15189278
2013-02-22,15238014
2013-02-23,15312376
2013-02-24,15401674
2013-02-25,15456215
2013-02-26,15484626
2013-02-27,15496292
2013-02-28,15519128
2013-03-01,15551104
2013-03-02,15619063
2013-03-03,15704804
2013-03-04,15758346
2013-03-05,15792728
2013-03-06,15815152
2013-03-07,15863544
2013-03-08,15915235
2013-03-09,15997930
2013-03-10,16095130
2013-03-11,16165618
2013-03-12,16222442
2013-03-13,16267673
2013-03-14,16315260
2013-03-15,16367728
2013-03-16,16444354
2013-03-17,16544488
2013-03-18,16617551
2013-03-19,16670504
2013-03-20,16707019
2013-03-21,16731002
2013-03-22,16775840
2013-03-23,16856017
2013-03-24,16943601
2013-03-25,17021866
2013-03-26,17075499
2013-03-27,17113098
2013-03-28,17176057
2013-03-29,17265094
2013-03-30,17346200
2013-03-31,17436493
2013-04-01,17534668
2013-04-02,17608283
2013-04-03,17664952
2013-04-04,17744363
2013-04-05,17817454
2013-04-06,17887412
2013-04-07,17976519
2013-04-08,18031293
2013-04-09,18068188
2013-04-10,18093996
2013-04-11,18133721
2013-04-12,18184572
2013-04-13,18250159
2013-04-14,18332895
2013-04-15,18380405
2013-04-16,18404884
2013-04-17,18411529
2013-04-18,18443702
2013-04-19,18481974
2013-04-20,18546807
2013-04-21,18625485
2013-04-22,18676526
2013-04-23,18704747
2013-04-24,18726130
2013-04-25,18753142
2013-04-26,18776589
2013-04-27,18832985
2013-04-28,18904001
2013-04-29,18934731
2013-04-30,18959864
2013-05-01,18974456
2013-05-02,18973908
2013-05-03,18985010
2013-05-04,19027647
2013-05-05,19080457
2013-05-06,19108102
2013-05-07,19135070
2013-05-08,19145618
2013-05-09,19183217
2013-05-10,19220105
2013-05-11,19275999
2013-05-12,19346960
2013-05-13,19383062
2013-05-14,19407151
2013-05-15,19422704
2013-05-16,19456671
2013-05-17,19499174
2013-05-18,19572754
2013-05-19,19657051
2013-05-20,19718429
2013-05-21,19757210
2013-05-22,19782541
2013-05-23,19828462
2013-05-24,19889053
2013-05-25,19959512
2013-05-26,20035459
2013-05-27,20129096
2013-05-28,20201940
2013-05-29,20259640
2013-05-30,20334216
2013-05-31,20406913
2013-06-01,20491959
2013-06-02,20602284
2013-06-03,20725921
2013-06-04,20826421
2013-06-05,20896011
2013-06-06,20993499
2013-06-07,21092115
2013-06-08,21189006
2013-06-09,21298859
2013-06-10,21423396
2013-06-11,21515460
2013-06-12,21589449
2013-06-13,21689541
2013-06-14,21783247
2013-06-15,21872341
2013-06-16,21970459
2013-06-17,22084325
2013-06-18,22192103
2013-06-19,22273483
2013-06-20,22364462
2013-06-21,22451351
2013-06-22,22536109
2013-06-23,22634920
2013-06-24,22744936
2013-06-25,22855510
2013-06-26,22956585
2013-06-27,23048135
2013-06-28,23133579
2013-06-29,23202501
2013-06-30,23280724
2013-07-01,23380103
2013-07-02,23479343
2013-07-03,23554398
2013-07-04,23590806
2013-07-05,23606738
2013-07-06,23671249
2013-07-07,23741448
2013-07-08,23842436
2013-07-09,23942528
2013-07-10,24021390
2013-07-11,24075658
2013-07-12,24135495
2013-07-13,24193956
2013-07-14,24254220
2013-07-15,24342102
2013-07-16,24435491
2013-07-17,24517728
2013-07-18,24588589
2013-07-19,24648821
2013-07-20,24706060
2013-07-21,24773490
2013-07-22,24865871
2013-07-23,24963744
2013-07-24,25049650
2013-07-25,25118968
2013-07-26,25183905
2013-07-27,25236485
2013-07-28,25298574
2013-07-29,25388948
2013-07-30,25500458
2013-07-31,25617788
2013-08-01,25696255
2013-08-02,25758229
2013-08-03,25808696
2013-08-04,25875641
2013-08-05,25975577
2013-08-06,26057698
2013-08-07,26121692
2013-08-08,26156998
2013-08-09,26191618
2013-08-10,26231686
2013-08-11,26286692
2013-08-12,26355504
2013-08-13,26433752
2013-08-14,26501108
2013-08-15,26542204
2013-08-16,26578678
2013-08-17,26622017
2013-08-18,26676787
2013-08-19,26726800
2013-08-20,26788588
2013-08-21,26835144
2013-08-22,26860481
2013-08-23,26893902
2013-08-24,26926348
2013-08-25,26968682
2013-08-26,26989020
2013-08-27,27032648
2013-08-28,27055690
2013-08-29,27053314
2013-08-30,27046183
2013-08-31,27040160
2013-09-01,27067002
2013-09-02,27109628
2013-09-03,27128523
2013-09-04,27132331
2013-09-05,27117471
2013-09-06,27100241
2013-09-07,27124577
2013-09-08,27164958
2013-09-09,27155956
2013-09-10,27144894
2013-09-11,27120022
2013-09-12,27085772
2013-09-13,27058486
2013-09-14,27074401
2013-09-15,27110420
2013-09-16,27101795
2013-09-17,27080165
2013-09-18,27035933
2013-09-19,27008143
2013-09-20,26997501
2013-09-21,27040077
2013-09-22,27086517
2013-09-23,27067088
2013-09-24,27034577
2013-09-25,26986672
2013-09-26,26959229
2013-09-27,26931150
2013-09-28,26953778
2013-09-29,26992661
2013-09-30,26975060
2013-10-01,26929960
2013-10-02,26867701
2013-10-03,26797666
2013-10-04,26770632
2013-10-05,26801988
2013-10-06,26854771
2013-10-07,26872840
2013-10-08,26856939
2013-10-09,26830107
2013-10-10,26847898
2013-10-11,26879426
2013-10-12,26948632
2013-10-13,27035667
2013-10-14,27085307
2013-10-15,27080002
2013-10-16,27048772
2013-10-17,27061788
2013-10-18,27082506
2013-10-19,27134815
2013-10-20,27211721
2013-10-21,27247358
2013-10-22,27232826
2013-10-23,27197664
2013-10-24,27210996
2013-10-25,27248908
2013-10-26,27314594
2013-10-27,27390315
2013-10-28,27420453
2013-10-29,27408856
2013-10-30,27375757
2013-10-31,27363097
2013-11-01,27374275
2013-11-02,27445087
2013-11-03,27522847
2013-11-04,27542678
2013-11-05,27535673
2013-11-06,27504776
2013-11-07,27507098
2013-11-08,27512890
2013-11-09,27550837
2013-11-10,27602173
2013-11-11,27628730
2013-11-12,27603519
2013-11-13,27558364
2013-11-14,27527126
2013-11-15,27519865
2013-11-16,27563424
2013-11-17,27617820
2013-11-18,27616610
2013-11-19,27575958
2013-11-20,27511981
2013-11-21,27488208
2013-11-22,27482561
2013-11-23,27530186
2013-11-24,27585332
2013-11-25,27595075
2013-11-26,27599920
2013-11-27,27618006
2013-11-28,27665987
2013-11-29,27730479
2013-11-30,27824023
2013-12-01,27923411
2013-12-02,27970671
2013-12-03,27972178
2013-12-04,27954713
2013-12-05,27977577
2013-12-06,28010782
2013-12-07,28103434
2013-12-08,28197177
2013-12-09,28236927
2013-12-10,28237762
2013-12-11,28220881
2013-12-12,28219545
2013-12-13,28241955
2013-12-14,28318170
2013-12-15,28398736
2013-12-16,28426560
2013-12-17,28422103
2013-12-18,28402728
2013-12-19,28438040
2013-12-20,28504469
2013-12-21,28602321
2013-12-22,28714765
2013-12-23,28828827
2013-12-24,28907284
2013-12-25,29145309
2013-12-26,29383746
2013-12-27,29593363
2013-12-28,29750802
2013-12-29,29891146
2013-12-30,30045583
2013-12-31,30152441
2014-01-01,30222246
2014-01-02,30368374
2014-01-03,30520823
2014-01-04,30662299
2014-01-05,30815613
2014-01-06,30942216
2014-01-07,31012665
2014-01-08,31066067
2014-01-09,31144745
2014-01-10,31232007
2014-01-11,31361545
2014-01-12,31494717
2014-01-13,31579190
2014-01-14,31626300
2014-01-15,31658794
2014-01-16,31714606
2014-01-17,31772623
2014-01-18,31879132
2014-01-19,31992172
2014-01-20,32083029
2014-01-21,32125336
2014-01-22,32163007
2014-01-23,32160076
2014-01-24,32157216
2014-01-25,32174591
2014-01-26,32200840
2014-01-27,32168674
2014-01-28,32165409
2014-01-29,32153816
2014-01-30,32107884
2014-01-31,32057636
2014-02-01,32065215
2014-02-02,32084027
2014-02-03,32052837
2014-02-04,32026173
2014-02-05,32001625
2014-02-06,31999976
2014-02-07,32006614
2014-02-08,32090166
2014-02-09,32162882
2014-02-10,32171482
2014-02-11,32159600
2014-02-12,32122782
2014-02-13,32135899
2014-02-14,32162015
2014-02-15,32247383
2014-02-16,32338369
2014-02-17,32413314
2014-02-18,32424971
2014-02-19,32412085
2014-02-20,32394393
2014-02-21,32412910
2014-02-22,32568086
2014-02-23,32696553
2014-02-24,32739756
2014-02-25,32724817
2014-02-26,32682925
2014-02-27,32681249
2014-02-28,32692209
2014-03-01,32758871
2014-03-02,32836363
2014-03-03,32871602
2014-03-04,32858075
2014-03-05,32815890
2014-03-06,32807052
2014-03-07,32824941
2014-03-08,32875065
2014-03-09,32904211
2014-03-10,32901963
2014-03-11,32854712
2014-03-12,32810837
2014-03-13,32818114
2014-03-14,32827691
2014-03-15,32896054
2014-03-16,32966084
2014-03-17,32969671
2014-03-18,33044467
2014-03-19,33047280
2014-03-20,33049818
2014-03-21,33058765
2014-03-22,33123746
2014-03-23,33200075
2014-03-24,33227731
2014-03-25,33162580
2014-03-26,33092536
2014-03-27,33095240
2014-03-28,33117784
2014-03-29,33195575
2014-03-30,33275411
2014-03-31,33291995
2014-04-01,33265781
2014-04-02,33232032
2014-04-03,33240064
2014-04-04,33261707
2014-04-05,33337744
2014-04-06,33423444
2014-04-07,33459687
2014-04-08,33446990
2014-04-09,33421010
2014-04-10,33429354
2014-04-11,33437546
2014-04-12,33483433
2014-04-13,33554731
2014-04-14,33599387
2014-04-15,33611712
2014-04-16,33600242
2014-04-17,33620002
2014-04-18,33582284
2014-04-19,33616621
2014-04-20,33619147
2014-04-21,33659074
2014-04-22,33651583
2014-04-23,33621123
2014-04-24,33624914
2014-04-25,33630508
2014-04-26,33666689
2014-04-27,33709755
2014-04-28,33703526
2014-04-29,33661132
2014-04-30,33598683
2014-05-01,33603114
2014-05-02,33608385
2014-05-03,33653136
2014-05-04,33692799
2014-05-05,33677870
2014-05-06,33622325
2014-05-07,33559459
2014-05-08,33526644
2014-05-09,33510345
2014-05-10,33545631
2014-05-11,33584342
2014-05-12,33582958
2014-05-13,33546941
2014-05-14,33497785
2014-05-15,33459302
2014-05-16,33416623
2014-05-17,33426444
2014-05-18,33446170
2014-05-19,33404600
2014-05-20,33382145
2014-05-21,33368187
2014-05-22,33355915
2014-05-23,33357403
2014-05-24,33399157
2014-05-25,33434251
2014-05-26,33474513
2014-05-27,33503909
2014-05-28,33520748
2014-05-29,33568924
2014-05-30,33599730
2014-05-31,33653373
2014-06-01,33702260
2014-06-02,33729740
2014-06-03,33724446
2014-06-04,33719349
2014-06-05,33750580
2014-06-06,33790249
2014-06-07,33843602
2014-06-08,33913151
2014-06-09,33975190
2014-06-10,34010899
2014-06-11,34032002
2014-06-12,34077978
2014-06-13,34121914
2014-06-14,34167156
2014-06-15,34219017
2014-06-16,34271704
2014-06-17,34297236
2014-06-18,34315057
2014-06-19,34365618
2014-06-20,34400282
2014-06-21,34424058
2014-06-22,34461741
2014-06-23,34508263
2014-06-24,34536129
2014-06-25,34567822
2014-06-26,34576275
2014-06-27,34548284
2014-06-28,34512031
2014-06-29,34492477
2014-06-30,34502488
2014-07-01,34511783
2014-07-02,34515800
2014-07-03,34526866
2014-07-04,34519819
2014-07-05,34495827
2014-07-06,34515373
2014-07-07,34568148
2014-07-08,34613389
2014-07-09,34632055
2014-07-10,34645306
2014-07-11,34644598
2014-07-12,34646743
2014-07-13,34664311
2014-07-14,34711684
2014-07-15,34759044
2014-07-16,34795613
2014-07-17,34833481
2014-07-18,34862112
2014-07-19,34891942
2014-07-20,34924092
2014-07-21,34978063
2014-07-22,35029328
2014-07-23,35066505
2014-07-24,35096067
2014-07-25,35109791
2014-07-26,35104275
2014-07-27,35109735
2014-07-28,35139302
2014-07-29,35182203
2014-07-30,35231820
2014-07-31,35302574
2014-08-01,35363736
2014-08-02,35406036
2014-08-03,35465029
2014-08-04,35529214
2014-08-05,35629643
2014-08-06,35660679
2014-08-07,35658578
2014-08-08,35654797
2014-08-09,35648851
2014-08-10,35659498
2014-08-11,35684109
2014-08-12,35730752
2014-08-13,35763354
2014-08-14,35766102
2014-08-15,35739697
2014-08-16,35759089
2014-08-17,35808407
2014-08-18,35813515
2014-08-19,35842884
2014-08-20,35816632
2014-08-21,35768100
2014-08-22,35719980
