dt,cnt
2015-06-23,33050554
2015-06-24,33087098
2015-06-25,33089205
2015-06-26,33103389
2015-06-27,33114655
2015-06-28,33136966
2015-06-29,33176122
2015-06-30,33203859
2015-07-01,33218746
2015-07-02,33227858
2015-07-03,33234914
2015-07-04,33226879
2015-07-05,33227079
2015-07-06,33281428
2015-07-07,33332236
2015-07-08,33382690
2015-07-09,33397399
2015-07-10,33394912
2015-07-11,33377063
2015-07-12,33383293
2015-07-13,33389076
2015-07-14,33403227
2015-07-15,33413054
2015-07-16,33410601
2015-07-17,33397698
2015-07-18,33378989
2015-07-19,33382054
2015-07-20,33414474
2015-07-21,33450041
2015-07-22,33366405
2015-07-23,33334292
2015-07-24,33304661
2015-07-25,33247574
2015-07-26,33223248
2015-07-27,33237256
2015-07-28,33255241
2015-07-29,33258862
2015-07-30,33254266
2015-07-31,33253530
2015-08-01,33227779
2015-08-02,33212869
2015-08-03,33225167
2015-08-04,33252478
2015-08-05,33271119
2015-08-06,33233185
2015-08-07,33183252
2015-08-08,33125533
2015-08-09,33074263
2015-08-10,33071999
2015-08-11,33082190
2015-08-12,33066196
2015-08-13,33026037
2015-08-14,32983512
2015-08-15,32946215
2015-08-16,32934713
2015-08-17,32919566
2015-08-18,32922076
2015-08-19,32911433
2015-08-20,32871045
2015-08-21,32842373
2015-08-22,32830385
2015-08-23,32828712
2015-08-24,32803763
2015-08-25,32781365
2015-08-26,32739770
2015-08-27,32678047
2015-08-28,32609060
2015-08-29,32573871
2015-08-30,32543265
2015-08-31,32478560
2015-09-01,32420004
2015-09-02,32380181
2015-09-03,32289930
2015-09-04,32207538
2015-09-05,32168692
2015-09-06,32146078
2015-09-07,32141336
2015-09-08,32112659
2015-09-09,32055815
2015-09-10,31981097
2015-09-11,31911677
2015-09-12,31897806
2015-09-13,31895017
2015-09-14,31844750
2015-09-15,31785773
2015-09-16,31707687
2015-09-17,31630324
2015-09-18,31574026
2015-09-19,31555825
2015-09-20,31560727
2015-09-21,31513837
2015-09-22,31422219
2015-09-23,31321859
2015-09-24,31267467
2015-09-25,31228889
2015-09-26,31237789
2015-09-27,31268728
2015-09-28,31248267
2015-09-29,31187914
2015-09-30,31103717
2015-10-01,31018938
2015-10-02,30963478
2015-10-03,30969575
2015-10-04,30982282
2015-10-05,30941491
2015-10-06,30861395
2015-10-07,30779158
2015-10-08,30679710
2015-10-09,30632777
2015-10-10,30638475
2015-10-11,30642284
2015-10-12,30618166
